symbol,example,note
!,n!
\!,a\!b
\dotsi,\int_{A_1}\int_{A_2}\dotsi
\dotsm,$x_1 x_2 \dotsm x_n
\dotso,
\doublebarwedge,
\doublecap,
\doublecup,
\Downarrow,
\downarrow,
\downdownarrows,
\downharpoonleft,
\downharpoonright,
\ell,
\else,,"<a href='https://github.com/Khan/KaTeX/issues/1003' target='_blank'>Issue #1003</a>"
\empty,
\emptyset,
\enclose,,"Non standard"
\end,"\begin{matrix}
   a & b \\
   c & d
\end{matrix}"
\endgroup,{a\endgroup
\enspace,a\enspace b
\Epsilon,
\epsilon,
\eqalign,
\eqalignno,
\eqcirc,
\Eqcolon,
\eqcolon,
{equation},,"<a href='https://github.com/Khan/KaTeX/issues/445' target='_blank'>Issue #445</a>"
{eqnarray},
\Eqqcolon,
\eqqcolon,
\eqref,,"<a href='https://github.com/Khan/KaTeX/issues/350' target='_blank'>Issue #350</a>"
\eqsim,
\eqslantgtr,
\eqslantless,
\equiv,
\Eta,
\eta,
\eth,
\euro,
\exist,,"See \exists"
\exists,
\exp,
\fallingdotseq,
\fbox,\fbox{Hi there!}
\fcolorbox,\fcolorbox{red}{aqua}{A}
\fi,,"<a href='https://github.com/Khan/KaTeX/issues/1003' target='_blank'>Issue #1003</a>"
\Finv,
\flat,
\footnotesize,\footnotesize footnotesize
\forall,
\frac,\frac a b
\frak,\frak{AaBb}
\frown,
\Game,
\Gamma,
\gamma,
{gather},,"see {gathered}"
{gathered},"\begin{gathered}
   a=b \\ 
   e=b+c
\end{gathered}"
\gcd,
\gdef,\gdef\bar#1{#1^2} \bar{y} + \bar{y}
\ge,
\geneuro,
\geneuronarrow,
\geneurowide,
\genfrac,,"In master"
\geq,
\geqq,
\geqslant,
\gets,
\gg,
\ggg,
\gggtr,
\gimel,
\global,\global\def\add#1#2{#1+#2} \add 2 3
\gnapprox,
\gneq,
\gneqq,
\gnsim,
\grave,\grave{eu}
\gt,a \gt b
\gtrdot,
\gtrapprox,
\gtreqless,
\gtreqqless,
\gtrless,
\gtrsim,
\gvertneqq,
\H,\text{\H{a}}
\Harr,
\hArr,
\harr,
\hat,\hat{\theta}
\hbar,
\hbox,
\hdashline,"\begin{matrix}
   a & b \\
   \hdashline
   c & d
\end{matrix}"
\hearts,
\heartsuit,
\hfil,
\hfill,,"Issues <a href='https://github.com/Khan/KaTeX/issues/164' target='_blank'>#164</a> & <a href='https://github.com/Khan/KaTeX/issues/269' target='_blank'>#269</a>"
\hline,"\begin{matrix}
   a & b \\ \hline
   c & d
\end{matrix}"
\hom,
\hookleftarrow,
\hookrightarrow,
\hphantom,a\hphantom{bc}d
\href,\href{https://khan.github.io/KaTeX/}{KaTeX}
\hskip,w\hskip1em i\hskip2em d
\hslash,
\hspace,s\hspace7ex k
\huge,\huge huge
\Huge,\Huge Huge
\i,\text{\i}
\idotsint,
\iddots,,"<a href='https://github.com/Khan/KaTeX/issues/1223' target='_blank'>Issue #1223</a>"
\if,,"<a href='https://github.com/Khan/KaTeX/issues/1003' target='_blank'>Issue #1003</a>"
\iff,A\iff B
\ifmode,,"<a href='https://github.com/Khan/KaTeX/issues/1003' target='_blank'>Issue #1003</a>"
\ifx,,"<a href='https://github.com/Khan/KaTeX/issues/1003' target='_blank'>Issue #1003</a>"
\iiiint,
\iiint,
\iint,
\Im,
\image,
\imath,
\impliedby,P\impliedby Q
\implies,P\implies Q
\in,
\includegraphics,,"<a href='https://github.com/Khan/KaTeX/issues/898' target='_blank'>Issue #898</a>"
\inf,
\infin,
\infty,
\injlim,
\int,
\intercal,
\intop,
\Iota,
\iota,
\isin,
\it,{\it AaBb}
\j,\text{\j}
\jmath,
\Join,
\Kappa,
\kappa,
\KaTeX,
\ker,
\kern,I\kern-2.5pt R
\Koppa,
\koppa,
\label,
\lang,,"See \langle"
\L,
\l,
\Lambda,
\lambda,
\land,
\langle,
\Larr,
\lArr,
\larr,
\large,\large large
