symbol,example
\leftrightsquigarrow,
\leftroot,\sqrt[3\leftroot1]{x}
\leq,
\leqq,
\leqslant,
\lessapprox,
\lessdot,
\lesseqgtr,
\lesseqqgtr,
\lessgtr,
\lesssim,
\let,\def\bar{hello} \cr \let\fooi\bar
\lfloor,
\lgroup,
\lim,
\limits,"\int\limits_a^b f(x)\,dx"
\ll,
\llcorner,
\Lleftarrow,
\lll,
\llless,
\lmoustache,
\lnapprox,
\lneq,
\lneqq,
\lnot,
\log,
\longleftarrow,
\longleftrightarrow,
\Longrightarrow,
\looparrowleft,
\looparrowright,
\lor,
\lozenge,
\lrcorner,
\Lsh,
\lt, a + \lt b\gt + c
\ltimes,
\lVert,
\lvert,
\lvertneqq,
\maltese,
\mapsto,
\mathbf,\mathbf{AaBb123}
\mathcal, \mathcal{AaBb123}
\mathclose,a + \mathopen\lt b\mathclose\gt + c
\mathinner,ab\mathinner{\text{inside}}cd
\mathop,\mathop{\star}_a^b
\mathord,"1\mathord{,}234{,}567"
\mathrel,a \mathrel{\#} b
\mathrm,\mathrm{AaBb123}
\mathsf,\mathsf{AaBb123}
\mathtip,
\mathtt,\mathtt{AaBb123}
\max,
\measuredangle,
\mho,
\mid,
\min,
\mkern,a\mkern18pt b
\mod, 3\equiv 5 \mod 2
\moveleft,t\moveleft3pt ight
\mp,
\mspace,a\mspace18pt b
\multimap,
\nabla,
\ncong,
\ne,
\neg,
\negthickspace,a\negthickspace b
\negthinspace,a\negthinspace b
\newcommand,\newcommand\myHearts  {\color{purple}{\heartsuit}\kern-2.5pt\color{green}{\heartsuit}}
\newenvironment, \newenvironment{myHeartEnv} {\color{purple}{\heartsuit}\kern-2.5pt\color{green}{\heartsuit}} {\text{ forever}}
\Newextarrow,\Newextarrow{\xRightarrow}{5,5}{0x21D2} \cr \xRightarrow[\text{text below}]{}
\newline,
\ngeq,
\ngeqq,
\ngeqslant,
\ngtr,
\ni,
\nleftarrow,
\nLeftrightarrow,
\nleftrightarrow,
\nleq,
\nleqq,
\nleqslant,
\nless,
\nmid,
\nobreakspace,a\nobreakspace b
\nolimits,\sum\nolimits_{k=1}^n a_k
\not,\not\gt
\notin,
\nprec,
\npreceq,
\nRightarrow,
\nrightarrow,
\nshortmid,
\nshortparallel,
\nsim,
\nsubseteq,
\nsubseteqq,
\nsucc,
\nsucceq,
\nsupseteq,
\nsupseteqq,
\ntriangleleft,
\ntrianglelefteq,
\ntriangleright,
\ntrianglerighteq,
\nu,
\nVdash,
\nvDash,
\nvdash,
\nwarrow,
\odot,
\oldstyle,\oldstyle AaBb123
\omega,
\ominus,
\oplus,
\otimes,
\overbrace,"\overbrace{x + \cdots + x}^{n\rm\ times}"
\overleftrightarrow,\overleftrightarrow{AB}
\overrightarrow,\overrightarrow{AB}
\overwithdelims,a \overwithdelims [ ] b
\parallel,
\perp,
\Phi,
\Pi,
\pitchfork,
\pm,
\pmb,\pmb{a+b-c}
\pod,x=y\pod{\text{display mode}}
\prec,
\preccurlyeq,
\preceq,
\precneqq,
\precnsim,
\precsim,
\prime,
\projlim,\projlim^sup_sub
\propto,
\psi,
\qquad,
\raise,h\raise 2pt {ighe} r
\rbrace,
\rceil,
\ref,\ref{eqn:myeqn}
\renewcommand,\newcommand\myHearts  {\color{purple}{\heartsuit}\kern-2.5pt\color{green}{\heartsuit}}
\renewenvironment, \newenvironment{myHeartEnv} {\color{purple}{\heartsuit}\kern-2.5pt\color{green}{\heartsuit}} {\text{ forever}}
\require,
\restriction,
\rfloor,
\rhd,
\rho,
\Rightarrow,
\rightarrowtail,
\rightharpoondown,
\rightleftarrows,
\rightleftharpoons,
\rightrightarrows,
\rightsquigarrow,
\rightthreetimes,
\risingdotseq,
\rlap,a \rlap{\;/}{=} b
\rmoustache,
\Rrightarrow,
\Rsh,
\rtimes,
\Rule,a\Rule{5px}{4ex}{2ex}^b_c d
\rVert,
\rvert,
\S,
\scriptscriptstyle,\frac ab + {\scriptscriptstyle \frac cd + \frac ef} + \frac gh
\scriptstyle,\frac ab + {\scriptstyle \frac cd + \frac ef} + \frac gh
\sec,
\sf,\sf AaBb123
\shortmid,
\shortparallel,
\shoveleft, \shoveleft % todo
\shoveright, \shoveright % todo
\sideset,\sideset{_1^2}{_3^4}\sum
\Sigma,
\sim,
\sin,
\skew,\skew4\hat{\hat A}
\smallfrown,
\smallint,
\smallsmile,
\smash,\sqrt{\frac ab} \sqrt{\smash{7}\vphantom{\frac ab}}
\Space,a\Space{5px}{4ex}{2ex}^b_c d
\spadesuit,
\sqcap,
\sqrt,\sqrt[3]{x}
\sqsubseteq,
\sqsupseteq,
\stackrel,\stackrel{\mathrm top}{\mathrm bottom}
\strut,\underrightarrow{AB\strut}
\subset,
\subseteq,
\subsetneq,
\subsetneqq,
\substack,\sum_{ \substack{ 1\lt i\lt 3 \\ 1\le j\lt 5 }} a_{ij}
\succ,
\succcurlyeq,
\succeq,
\succneqq,
\succnsim,
\succsim,
\sum,
\supset,
\supseteq,
\supsetneq,
\supsetneqq,
\surd,
\tag,\tag{3.1c}
\tan,
\tau,
\TeX,
\textbf,\textbf AaBb123
\textrm,\textrm AaBb123
\texttip,\texttip AaBb123
\tfrac,\tfrac ab
\therefore,
\Theta,
\thickapprox,
\thicksim,
\thinspace,a\thinspace b\thinspace c\thinspace d
\times,
\Tiny,\Tiny AaBb123
\to,
\top,
\triangledown,
\triangleleft,
\triangleq,
\triangleright,
\tt,{\tt AaBb123}
\twoheadrightarrow,
\ulcorner,
\underbrace,\underbrace{x + \cdots + x}_{n\rm\ times}
\underleftrightarrow,\underline{\text{a long argument}}
\underrightarrow,\underrightarrow{AB}
\unicode,\unicode{x263a}
\unlhd,
\unrhd,
\Uparrow,
\Updownarrow,
\upharpoonleft,
\upharpoonright,
\uplus,
\Upsilon,
\upuparrows,
\urcorner,
\varDelta,
\varepsilon,
\varinjlim,
\varkappa,
\varLambda,
\varliminf,
\varlimsup,
\varnothing,
\varOmega,
\varphi,
\varpi,
\varprojlim,
\varpropto,
\varPsi,
\varrho,
\varSigma,
\varsubsetneq,
\varsubsetneqq,
\varsupsetneq,
\varsupsetneqq,
\vartheta,
\vartriangle,
\vartriangleleft,
\vartriangleright,
\varUpsilon,
\varXi,
\vcenter,\left(\vcenter{\frac{a+b}{\dfrac{c}{d}}}\right)
\Vdash,
\vDash,
\vdots,
\vee,
\verb,\verb!Text and $\frac ab$ in \verb mode!
\Vert,
\vphantom,\binom{\frac ab}c \binom{\vphantom{\frac ab}?}c
\wedge,
\widetilde,\widetilde{AB}
\wr,
\Xi,
\xcancel,x+\xcancel{5y}=0
\xleftarrow,\xleftarrow{\text{see equation (1)}}
\xlongequal,\xlongequal{\text{a long text...}}
\xmapsto,\xmapsto{\text{Look here}}
\xrightarrow,\xrightarrow{ab}
\xtofrom,"\xtofrom{abc}"
\xtwoheadleftarrow,"\xtwoheadleftarrow{abc}"
\xtwoheadrightarrow,"\xtwoheadrightarrow{abc}"
\yen,
\zeta,
